title,code,song_by,status
Gold Digger,18416,"Butchiki Dela
Cruz",New
Good Vibes,18652,Quest feat Mayonnaise,New
Gusto Ko,18342,Gracenote ft Alexa Ilacad,New
Hallelujah,18546,Pentatonix,New
Hang,18478,Matchbox20,New
Hanggang Dito Na Lang,18426,Enchong Dee,New
Happy Merry Christmas,18282,Sexbomb,New
Happy To Be Me,18505,Andrea Brillantes,New
Harana Na Na Na Na,18333,"Janella
Salvador",New
Hardcore Poetry,18304,Tavares,New
Harinawa,18417,Bayang Barrios,New
Hindi Kita Iiwan,18515,Sam Milby,New
Hit The Lights,18516,Selena Gomez And The Scene,New
Hold My Heart,18524,Sara Bareilles,New
Hold Up,18328,Beyonce,New
Home,18466,Gabrielle Aplin,New
Hot Blooded,18560,Foreigner,New
How Can I Not Love You,18363,Joy Enriquez,New
Human Highway,18653,Neil Young,New
I Am A Soldier,18437,Lew Soratorio,New
I Can Make You Feel Good,18311,Kavana,New
I Can't Help It,18386,Andy Gibbs & Olivia Newton-,New
I Can't Play The Songs,18418,David Gates,New
I Don't Wanna Fight No More,18580,Westlife,New
I Don't Wanna Miss A Thing,18346,Regine Velasquez,New
I Hope That I Don't Fall In Love With You,18480,Tom Waits,New
I Miss You,18445,Adele,New
I Need You In My Life,18319,Homer Paredes,New
I See You Lord,18517,Aiza Seguerra,New
I Think God Can Explain,18419,Splender,New
I Think I'm Paranoid,18497,Garbage,New
I Wanna Grow Old With You,18430,Westlife,New
I Was Made For Loving You,18675,Tori Kelly Ft. Ed Sheeran,New
I Write Sins Not Tragedy,18420,"Panic At The
Disco",New
I'd Do Anything,18345,Tim Pavino,New
Idalangin Sa Maykapal,18484,April Boys,New
If I Lose Myself,18312,OneRepublic,New
If This Was A Movie,18421,Taylor Swift,New
If We Just Hold On,18422,Jonalyn Viray,New
Ikaw,18452,Martin Nievera,New
Ikaw Lang Ang Mamahalin,18302,Martin Nievera,New
Ikaw Na Nga,18598,Daryl Ong,New
I'll Cry Instead,18518,The Beatles,New
I'll Never Get Enough Of You,18482,Air Supply,New
I'm Coming Out,18423,Diana Ross,New
I'm Gonna Be (500 Miles),18325,The Proclamers,New
I'm Gonna Find Another You,18448,John Mayer,New
I'm Not Supposed To Love..,18318,Brian White,New
Impossible,18313,Shontelle,New
Impossible Winner,18602,Rockstar,New
In The Eyes Of A Child,18615,Air Supply,New
In This Life,18590,Collin Raye,New
In Your Eyes,18424,Peter Gabriel,New
Infatuation,18400,"Christina
Aguilera",New
Informer,18616,Snow,New
Is There Someone Out There,18314,Code Red,New
Isang Pamilya Tayo Ngayong Pasko,18385,"Sarah, Leah, Bamboo,",New
It's Christmas All Over The World,18283,Sheena Easton,New
Itutuloy,18618,"Regine
Velasquez",New
Jive Talkin',18485,Bee Gees,New
Jumpshot,18622,Dawin,New
Just Friends,18307,Gavin Degraw,New
Just Like Me,18637,Fra Lippo Lippi,New
Kabilang Mundo,18563,Siakol,New
Kahit Ika'y Panaginip Lang,18586,Basil Valdez,New
Kamasupra,18476,Eraserheads,New
Kapag Kasama Kita,18457,Piolo Pascual,New
Kapag Lasing Ka Lang Malambing,18670,Mayonnaise,New
Key To My Life,18638,Boyzone,New
Killing Myself To Sleep,18507,Charice,New
Kiss (Never Let Me Go),18458,Thyro & Yumi,New
Kiss On My List,18514,Hall & Oates,New
Kissin' U,18624,"Miranda
Cosgrove",New
Kung Alam Mo Lang Kaya,18508,Roxie Barcelo,New
LA Devotee,18502,Panic At The Disco,New
Label,18503,"Myrtle Sarrosa
ft Abra",New
Lalake,18639,Hagibis,New
Land Of The Loving,18550,"David Benoit ft
Dianne Reeves",New
Larawan,18368,Eevee,New
Laro,18608,Autotelic,New
Lea,18575,Noel Cabangon,New
Lean And Dab,18542,iLoveMemphis,New
Let's Stop Before We Fall In Love,18463,Norman Saleet,New
Let's Wait Awhile,18431,Janet Jackson,New
Levitate,18532,Imagine Dragons,New
Life Of The Party,18631,Shawn Mendes,New
Lights Out (Too Drunk),18536,DJ Katch ft Hayley,New
Like I Would,18534,Zayn,New
Like Mariah,18349,Fifth Harmony,New
Live Like We're Dying,18449,Kris Allen,New
Live To Rise,18551,Sound Garden,New
Long Distance,18460,Bruno Mars,New
Loser Like Me,18498,Glee Cast,New
Losing Control,18406,Faintlight,New
Love Me Again,18640,Regine Velasquez,New
Love Or Confusion,18641,Jimi Hendrix,New
Love Story,18642,Taylor Swift,New
Love Story Ko,18461,Gloc 9,New
Love You Madly,18651,Cake,New
Lupa,18362,Rico J. Puno,New
Mad World,18332,Tears For Fears,New
Magmahalan Tayo Ngayong Pasko,18382,Alden Richards,New
Magpakailanman,18552,Rocksteady,New
Mahal Naman Kita,18403,Josh Santana,New
Mahal Naman Kita,18643,Jamie Rivera,New
Make Believe It's Your First Time,18490,The Carpenters,New
Malaya,18633,Moira Dela Torre,New
Mambo Italiano,18492,Dean Martin,New
Mangga,18604,Jireh Lim,New
"Mano Po Ninong, Mano Po Ninang",18284,Janet Arnaiz,New
Mary Did You Know,18605,Jordan Smith,New
Mary Jane,18574,The Grandells,New
Masdan Mo Ang Kapaligiran,18578,Xanctuary,New
Maybe This Time,18493,Sarah Geronimo,New
Mercy,18334,Shawn Mendes,New
Million Reasons,18370,Lady Gaga,New
Minsan Ang Minahal Ay Ako,18491,Celeste Legaspi,New
Misery,18471,Moffats,New
Miss Mo Rin Ba Ako,18321,J Brothers,New
Misteryoso,18344,Issa Rodriguez,New
Misty,18327,Johnny Mathis,New
Mobile,18399,Avril Lavigne,New
Moment Of Glory,18553,Scorpions,New
Monumento,18459,Kyla & Kris Lawrence,New
Move Your Body,18626,Sia,New
Mr. Dieingly Sad,18654,The Critters,New
Muli,18644,Vina Morales,New
Munting Hiling,18645,Hannah Flores,New
My Boy Lollipop,18554,Millie Small,New
My Heart Is Broken,18555,Evanescence,New
My Love Will Never Die,18475,Bert Dominic,New
My Miracle,18556,Jonalyn Viray,New
My Morena Girl,18609,Hey Joe Show,New
My Way,18409,Calvin Harris,New
Nando'n Ako,18678,Willie Revillame,New
Never Give Up,18533,Sia,New
Ngayong Wala Ka Na,18462,Aiza Seguerra,New
No Ordinary Love,18373,M.Y.M.P.,New
Noon At Ngayon,18557,Blakdyak,New
Not Afraid Anymore,18627,Halsey,New
Not Like The Movies,18351,Katy Perry,New
On My Way,18606,Tiesto ft Bright Sparks,New
One,18446,Ed Sheeran,New
One More Try,18646,Kyla,New
Only Love,18428,Paul McCartney,New
Only You,18411,Lord Soriano,New
OOOUUU,18340,Young M.A,New
Open Up Your Heart,18352,Frente,New
Paasa (T. A. N. G. A.),18444,Yeng Constantino,New
Pakaingatan,18494,Eurika,New
Pakipot Suplado,18504,Alexa Ilacad,New
Panaginip,18647,Zelle,New
Pare-Pareho,18357,"Banda Ni
Kleggy ft",New
Paris,18620,The Chainsmokers,New
Pariwara,18374,"Itchyworms feat.
Ely Buendia",New
Paskong Anong Saya,18286,Verni Gonzales,New
Pause,18547,Gracenote,New
People Are People,18558,Depeche Mode,New
Perfectly Perfect,18673,Simple Plan,New
Perm,18629,Bruno Mars,New
Pinoy Ang Gusto,18649,DJ Alvaro,New
Pokemon Theme Song,18360,Jason Paige,New
Pop Goes The World,18322,"Men Without
Hats",New
Promise Me,18394,Lord Soriano,New
Purple Lamborghini,18339,"Skrillex & Rick
Ross",New
Pusong Bato,18353,Jovit Baldovino,New
Questions,18354,Manfred Mann,New
Rain,18326,Von Arroyo,New
Rain,18389,Boy Mondragon,New
Remember December,18361,Demi Lovato,New
Rescue Me,18407,Alden Richards,New
Reunion,18358,Parokya Ni Edgar,New
Ride,18541,"Twenty One
Pilots",New
Rollin',18371,LimpBizkit,New
Ruin,18347,Shawn Mendes,New
Sa Paskong Darating,18288,Celeste Legspi,New
Sa Piling Mo,18588,Bing Rodrigo,New
Saan Darating Ang Umaga,18301,Angeline Quinto,New
Sagwan,18501,Gloc 9 ft Monty Macallino of,New
Salvation,18513,Gabrielle Aplin,New
Samson,18656,Regina Spektor,New
Sa'n Ako Magsisimula,18672,Callalily,New
Sana Ikaw,18657,Erik Santos,New
Sana Kung Pwede Lang,18506,Juan Karlos Labajo,New
Sana Ngayon Lang Ang Kahapon,18565,Angeline Quinto,New
Sana'y Tanggapin Ang Pag-ibig Ko,18391,April Boy Regino,New
Sandali Na Lang,18592,Eurika,New
Santa Monica,18455,Savage Garden,New
Santa Tell Me,18289,Ariana Grande,New
Sasagipin Kita,18658,Siakol,New
Saturday Night,18510,Eagles,New
Save It For A Rainy Day,18393,Kenny Chesney,New
Say You Like Me,18614,We The Kings,New
Say You Won't Let Go,18376,James Arthur,New
Seamless,18611,"Sabrina
Carpenter",New
Secret Love Song Pt. II,18630,Little Mix,New
Setting Fires,18441,The Chainsmokers,New
She,18573,Greenday,New
Shoot Shoot,18525,Andrew E.,New
Shout Out To My Ex,18438,Little Mix,New
Show Me Love,18364,Robin S,New
Sick Of Myself,18372,Matthew sweet,New
Side To Side,18439,"Ariana Grande
ft Nicki Minaj",New
Sila,18549,SUD,New
Sino Si Santa Claus,18290,Florante,New
Skyway Avenue,18564,We The Kings,New
Slide,18572,Goo Goo Dolls,New
Slow Chemical,18470,Finger Eleven,New
Slumber Party,18531,Britney Spears ft Tinashe,New
Smile Again,18636,"The Manhattan
Transfer",New
Something Beautiful,18523,Robbie Williams,New
Sorry Doesn't Make It Anymore,18613,The RAH Band,New
"Sorry Na, Pwede Ba",18660,Brownman Revival,New
Sorry Naman,18674,Rico Blanco,New
Soul Mates,18451,Marc Velasco,New
Spotlight,18661,Jennifer Hudson,New
Starboy,18443,"The Weeknd ft
Daft Punk",New
Stay,18662,Carol Banawa,New
Step By Step,18380,Whitney Houston,New
Still Breathing,18601,Green Day,New
Still In Love,18473,David Gates,New
Strangers By The Day,18359,Shades Apart,New
Stuttering,18566,Fefe Dobson,New
Sunlight,18435,Kevyn Lettau,New
Sunshine,18663,Gabrielle,New
"Tag-araw, Tag-ulan",18665,Hajji Alejandro,New
Take It Off,18365,Kesha,New
Taking Off,18410,One Ok Rock,New
Taking The Chance,18582,Air Supply,New
Tala,18337,"Sarah
Geronimo",New
Talk Shows On Mute,18603,Incubus,New
Tao,18655,Sampaguita,New
Tayo Ay Maglaro,18356,Lyca Gairanod ft. Reynan Dal-,New
Tayo Lang Dalawa,18666,Kiss Jane,New
Teardrops On My Guitar,18366,Taylor Swift,New
Tee Shirt,18595,Birdy,New
"Thank You, Ang Babait Ninyo",18383,"Lyca, Darren,
JK and Darlene",New
That's My Girl,18336,Fifth Harmony,New
The Adventures Of Raindance..,18367,Red Hot Chili Peppers,New
The Day You Went Away,18567,M2M,New
The Girl From Ipanema,18591,Frank Sinatra Feat. Antonio,New
The Hardest Thing,18635,98 Degrees,New
The Heart Never Lies,18405,McFly,New
The King Of Wishful Thinking,18474,Go West,New
The Take Over The Breaks Over,18600,Fall Out Boy,New
The Way You Do The Things..,18568,The Temptations,New
The World As I See It,18667,cx,New
There's A Place For Us,18617,Carrie Underwood,New
These Arms Of Mine,18569,Otis Redding,New
Think,18570,Aretha Franklin,New
This Town,18375,Niall Horan,New
Time Is On My Side,18650,Rolling Stones,New
Too Good To Say Goodbye,18619,Bruno Mars,New
Too Little Too Late,18481,Jojo,New
True Blue,18579,Madonna,New
Tsinelas,18676,Yano,New
Tunay Na Ligaya,18677,Basil Valdez,New
Tush,18378,ZZ top,New
Two Lovely Flowers,18540,Eddie Peregrina,New
Ung Tagalog,18561,Kamikazee,New
Verge,18464,Owl City ft Aloe Blacc,New
Versace On The Floor,18432,Bruno Mars,New
Wag Ka Nang Umiyak,18512,Gary Valenciano,New
Wala Lang Yun,18479,Parokya Ni Edgar,New
Welcome To Paradise,18477,Greenday,New
What About Love,18623,Lemar,New
What If,18581,Jason Derulo,New
What Kind Of Fool Am I,18395,Regine Velasquez,New
What Kind Of Man Would I Be,18597,Chicago,New
What's The Frequency Kenneth,18562,R.E.M,New
When You're Gone,18456,The Cranberries,New
Where Did My Heart Go,18379,James Ingram,New
Wild,18305,Troye Sivan,New
Wish Ko Sa Pasko,18291,Sexbomb,New
Wishing On The Same Star,18679,Girlfriend,New
Without Love,18396,Tom Jones,New
Wolverton Mountain,18495,Claude King,New
Won't Let You Fall,18519,Fergie,New
You Are My Religion,18680,Firehouse,New
You Beat Me To The Punch,18529,Mary Wells,New
You Decorated My Life,18681,Kenny Rogers,New
You Don't Know Me,18522,Jann Arden,New
You Mean More To Me,18381,Lionel Richie,New
You Said No (Crash And Burn),18571,Busted,New
You Were Right,18392,Gene Cotton,New
You'll Never Walk Alone,18521,Gerry & The Pacemakers,New
Young Folks,18454,"Peter Bjorn and
John",New
1 Thing,26226,Amerie,New
1-800-273-8255,26469,Logic ft. Alessia Cara & Khalid,New
2U,26229,"David Guetta ft.
Justin Bieber",New
A Little More Love,26327,Olivia Newton John,New
A Little Space,18723,Ne-Yo,New
A Tear Fell,26135,Ray Charles,New
A Woman Like You,26083,Lee Brice,New
After All,26183,Linda Eder,New
Akala Ko,26094,Matteo Guidicelli,New
Ako Ang Namunit,26290,Pirot,New
Ako Sa'yo,18803,Sue Ramirez,New
Al Di La,18883,Connie Francis,New
Alangan,26015,Zsaris,New
Ale Nasa Langit Na Ba Ako,18831,Richard Reynoso,New
Alive,18982,"Black Eyed
Peas",New
All For Love,18682,Hillsong United,New
All I Need,26084,Side A,New
All Night Long,18905,Joe Walsh,New
All Of My Life,26189,Marco Sison,New
All The Love In The World,18848,The Outfield,New
All The Way,26291,Celine Dion and Frank Sinatra,New
All Too Well,26330,Taylor Swift,New
"Alone, (Why I Must Be Alone)",26085,Sheperd Sisters,New
Always,18782,Air Supply,New
Amen,26216,Frio,New
American Girls,18874,One Ok Rock,New
Amie,26489,Damien Rice,New
An American Dream,18783,"Nitty Gritty Dirt
Band",New
Ang Tunay Na Pagmamahal,26304,Bobby Duran,New
Angel Of My Dream,26298,Joel Trinidad,New
Angels Cry,18748,Red Jumpsuit Apparatus,New
Ano Nga Ba Tayo,18893,Jona,New
Another Day Of Sun,18683,La La Land,New
Any Dream Will Do,18991,Jason Donovan,New
Anybody Seen My Baby,26156,"The Rolling
Stones",New
Arms Of Mary,26120,Sutherland Brothers,New
At Ang Hirap,18986,Angeline Quinto,New
Atake,18713,Slapshock,New
Attention,18973,Charlie Puth,New
Babalik Kang Muli,26391,Angeline Quinto,New
Baby It's You,26446,Jojo,New
Baby Shark,26464,Pinkfong,New
"Baby, Baby, Baby",26268,TLC,New
Back in Black,18898,AC/DC,New
Back To You,26322,"Louis Tomlinson
ft Bebe Rexha",New
Bad Liar,26247,Selena Gomez,New
Bad Luck,18878,Social Distortion,New
Bahaghari,26175,Spongecola,New
Bakit Hindi Mo Na Kaya,26086,Sherwin Baguion,New
Bakit Ikaw Pa Rin,18998,Sharon Cuneta,New
Balay Ni Mayang,18784,Martina San Diego and Kyle,New
Bale Wala,18974,Jeric Medina,New
Balewala,18802,Loonie,New
Balisong,26211,The Juans,New
Bang And Blame,18747,R.E.M.,New
Bank Account,26440,21 Savage,New
Bastelicious,26408,Baeby Baste,New
Ba't Di Mo Nasabi,18892,Myrus,New
Battle,18684,Colbie Caillat,New
Be A Child Once Again,18797,John Cadelina,New
Be My Lover,26232,La Bouche,New
Be The One,18787,Dua Lipa,New
Beautiful,26184,Akon ft Kardinall Ofishall,New
Beauty And The Beast,18804,"Ariana Grande, John Legend",New
Because We Can,26392,Bon Jovi,New
Before It's Too Late,18960,Goo Goo Dolls,New
Before The Next Teardrop Falls,26308,Freddy Fender,New
Believe Me,26058,Eddie Peregrina,New
Believer,26316,Imagine Dragons,New
Belladona,26121,UFO,New
Berzerk,18685,Eminem,New
Better Than I Know Myself,26185,Adam Lambert,New
Bibia Be Ye Ye,26326,Ed Sheeran,New
Big Empty,26431,Stone Temple Pilots,New
Bilog,26110,"Gracenote ft
Yeng",New
Bisan Pa,18785,Bizrock,New
Bistado Na Kita,26201,Boyfriends,New
Bituin,26160,Shehyee ft Keiko Necesario,New
Blue Eyes Blue,18884,Eric Clapton,New
Blue Kiss,18795,Jane Wiedlin,New
Bodak Yellow,26466,Cardi B,New
Body Like A Back Road,18934,Sam Hunt,New
Bon Appetit,26474,Katy Perry,New
Born Under A Bad Sign,18912,Richard Hawley,New
Boys,26310,Charli XCX,New
Brave,18937,Jennifer Lopez,New
Brighter Than The Sun,26004,Colbie Caillat,New
Broken Vow,26091,Josh Groban,New
Buhay Ng Buhay Ko,26065,Regine Velasquez,New
Built To Last,18963,Melee,New
Bulag Pipi At Bingi,26152,Aegis,New
Burnin' For You,18976,Blue Oyster Cult,New
Burnin' Up,26087,Ne-Yo,New
Butterfly,18837,Crazy Town,New
California,18746,Phantom Planet,New
Call Me,18711,Imelda May,New
Call Me,26002,"Regine
Velasquez",New
Can I Play With Madness,26127,Iron Maiden,New
Can U Help Me,26353,Usher,New
Can We Still Be Friends,26143,Toni Gonzaga,New
Candy,26277,Iggy pop,New
Can't Get Over You,26410,Harana,New
Can't Stay Away From You,18921,Gloria Estefan,New
Can't Stop Christmas,26393,Martin Nievera,New
Car Radio,18809,"Twenty One
Pilots",New
Carried Away,26190,Crosby Stills & Nash,New
Castle On The Hill,18773,Ed Sheeran,New
Catch Your Wave,26019,The Click Five,New
Chained To The Rhythm,18718,"Katy Perry, Skip
Marley",New
Charlie Brown,26088,Coldplay,New
Cheryl Moana Marie,18725,Victor Wood,New
Chunky,18714,Bruno Mars,New
Cinnamon And Lipstick,18769,FM Static,New
City Of Stars,18786,La La Land,New
Closer,18886,Alamid,New
C'mon Through,18983,Lasse Lindh,New
Cold,26032,Maroon 5,New
Colors,26347,Amos Lee feat. Norah Jones,New
Come Back Home,26140,Lauv,New
Come Home,18706,Trace Adkins,New
Come On Get Higher,18771,Matt Nathanson,New
Come To Me,26204,Goo Goo Dolls,New
Come With Me,18952,Martin Nievera,New
Confessions Part 1,18947,Usher,New
Congratulations,26382,Post Malone ft. Quavo,New
Cool Down,26132,James Reid,New
Could This Be Love,26237,Seduction,New
Cry,26089,Fatih Hill,New
Dahan Dahan,18690,The Boss Band,New
Dahil Sa'yo,18844,Inigo Pascual,New
Damn Regret,18752,The Red Jumpsuit,New
Days Of Wine And Roses,18882,Andy Williams,New
Dead,26186,My Chemical Romance,New
Dekada,18887,Join The Club,New
Designer Music,18928,Lipps Inc,New
Despacito,18929,"Luis Fonsi, Daddy Yankee",New
Di Kita Ma Reach,18899,April Boys,New
Di Ko Alam,18972,Enchong Dee,New
Di Magbabago,26473,Teejay Marquez,New
Dirty Little Secret,18879,The All American,New
Disenchanted,18872,My Chemical Romance,New
Dito,26013,Inigo Pascual,New
Dive,26202,Ed Sheeran,New
Do I Make You Wanna,26399,Billy Currington,New
Do Ya Do Ya Ever Do Ya,18753,Ric Segreto,New
Do You Believe In Magic,18975,The Lovin' Spoonful,New
Do You Believe In Us,18888,Jon Secada,New
Don't Let Go,26374,En Vouge,New
Don't Say Goodbye,18810,Ylona Garcia,New
Don't Stop Me Now,18894,Queen,New
Don't You Give Up On Me Now,26049,Lissie,New
Down,26377,Fifth Harmony,New
Dreamin',18724,The Cascades,New
Dreams,18687,Gabrielle,New
Drowning,26346,A Boogie Wit Da Hoodie ft,New
Dyslexic Heart,18877,Singles,New
Ebb Tide,18754,"Righteous
Brothers",New
Emily,26193,Andy Williams,New
Emotions,26029,Mariah Carey,New
End Of The Line,18940,Honeyz,New
Ever After,26055,Bonnie Bailey,New
Ever Enough,18856,"A Rocket To
The Moon",New
Everglow,26409,Coldplay,New
Everlasting Love,26305,Andy Gibb,New
Every Time I Hear That Song,26342,Blake Shelton,New
Everyday,18814,Ariana Grande ft Future,New
Everyday Is Like Sunday,26320,Morrissey,New
Everyday We Lit,26354,YFN Lucci ft. PnB Rock,New
Everyone's Gone To The Moon,26090,Jonathan King,New
Everything You Do,18907,M2M,New
Everywhere I Go,26196,Katherine Mcphee,New
Evidence Of Love,18999,Air Supply,New
Faded,26129,Alan Walker,New
Faith,26064,"Stevie Wonder
ft. Ariana",New
Fast Car,18728,Jonas Blue ft Dakota,New
Favorite Girl,26306,Justin Bieber,New
Feel It Still,26477,"Portugal The
Man",New
Feel The Light,26059,Jennifer Lopez,New
Fetish,26238,"Selena Gomez
ft Gucci Mane",New
Find Someone,18935,Sheppard,New
Finesse,26027,Bruno Mars,New
First Day,26450,Tee Grizzley,New
Fixed,26142,New Hope Club,New
Fly Tonight,26043,Ylona Garcia,New
Folsom Prison Blues,18770,Johnny Cash,New
Foolish,26227,Ashanti,New
Forever And A Day,26197,Aiza Seguerra,New
Forget Him,26294,Bobby Rydell,New
Found My Smile Again,26307,Karylle,New
Freedom,18916,Wham,New
Galway Girl,26007,Ed Sheeran,New
Ganito Ba Talaga?,18689,Liezel Garcia,New
Geek in the Pink,26206,Jason Mraz,New
Ghost Fighter Opening Theme,26288,Ghost Fighter,New
Girl In The Mirror,18946,Sophia Grace ft Silento,New
Girlfriend In A Coma,18849,The Smiths,New
Go For Gold,18707,Kyle Patrick,New
Go Robot,18774,Red Hot Chilli Peppers,New
Go With The Flow,26162,Poppert,New
God Gave Me You,26099,Regine Velasquez-,New
God Your Mama and Me,26315,"Florida Georgia
Line ft. The",New
Golden,18915,Sia ft Travie McCoy,New
Gonna Make You An Offer You Can't Refuse,26191,Jimmy Helms,New
Gonna Wanna Tonight,18788,Chase Rice,New
Good Life,18826,G-Eazy & Kehlani,New
Good Times I'm In Love,18686,"Cerrone Ft
Adjana",New
Good Vibes,26137,Vice Ganda,New
Goodbye My Lover,18970,James Blunt,New
Got To Be Real,26123,Chery Lynn,New
Gravity,18942,John Mayer,New
Greedy,26024,Ariana Grande,New
Green Light,26031,Lorde,New
Guilty,26054,Barbara Streisand &,New
Gusto Kita,26433,Ara Mina,New
Habag,26112,Ney,New
Habang Buhay Ay Ikaw,18818,Ariel Rivera,New
Habulan,26414,Maja Salvador,New
Hair,18917,Lady Gaga,New
Hanggang Kailan,18944,"Michael
Pangilinan",New
Haplos,26379,Maja Salvador,New
Happier,26333,Ed Sheeran,New
Happy Heart,18918,Andy Williams,New
Hard Times,18930,Paramore,New
Havana,26465,"Camilla Cabello
ft. Young Thug",New
Have You Seen Her,26047,The Chi-lites,New
Hear You Me,26020,"Jimmy Eat
World",New
Heart (Don't Change My Mind),26124,Diana Ross,New
Heart Song,26335,Mica Javier,New
Hearts,18843,Marty Balin,New
Heavy Dirty Soul,18720,Twenty One Pilots,New
Heels Over Head,26170,Boys Like Girls,New
Helium,26484,Sia,New
Hell Bells,26103,AC/DC,New
Here I Am,18708,Monica,New
Here In My Heart,26172,Mayonnaise,New
Here We Go Again,18695,Demi Lovato,New
Heto,26073,Thyro & Yumi,New
Hey Barbara,26418,IV Of Spades,New
Hey Mama,26130,"Nicki Minaj,
Bebe Rexha &",New
Hey Now,26075,FM Static,New
Higher,26336,Erik Gronwall,New
Hiling,18951,Mark Carpio,New
Himig Ng Panahon,26217,"Luke Mejares, Duncan Ramos,",New
Hinahanap Pa Rin,26102,Morisette,New
Hindi Mo Na Ba Minamahal,26057,Dingdong Avanzado,New
Hindi Na Magbabago,26218,Erik Santos,New
Hindi Wala,18840,Juris,New
Hinding-Hindi Kita Iiwan,18815,Rocky Lazatin,New
Histrionics,26081,Popsicle,New
Hoedown Throwdown,26434,Miley Cyrus,New
Holiday,26199,Bee Gees,New
Home,26259,Brian Mcknight,New
How Can I,26021,Martin Nievera,New
How Do You Talk To An Angel,18709,The Heights,New
How Does A Moment Last Forever,26394,Celine Dion,New
How Far I'll Go,18838,"Janella
Salvador",New
How To Deal,26242,Frankie J,New
Hudas,26337,Bamboo,New
Huling Harana,26323,Christian Bautista,New
Human,18740,Rag'n'Boneman,New
HUMBLE,26349,Kendrick Lamar,New
Hummingbird Heartbeat,26435,Katy Perry,New
Hurricane,26318,Luke Combs,New
Hush Hush,18919,Pistol Annies,New
Huwag Kang Matakot,18801,Elmo Magalona,New
Hypnotised,26028,Coldplay,New
I Am Changing,18813,Jennifer Hudson,New
I Believe,26219,Carol Banawa,New
I Can Hear Music,26001,Beach Boys,New
I Can Wait Forever,18904,Simple Plan,New
I Can't Make You Love Me,26220,Boyz II Men,New
I Can't Make You Love Me,26338,Adele,New
I Do,26005,Colbie Caillat,New
I Don't Care,26356,Judy Garland,New
I Don't Love You,26080,My Chemical Romance,New
I Don't Wanna Live Forever,18726,"ZAYN, Taylor
Swift",New
I Feel Blue,26008,Eddie Peregrina,New
I Feel It Coming,18722,"The Weeknd,
Daft Punk",New
I Forgive You,18692,Kelly Clarkson,New
I Found You,26278,Itchyworms,New
I Gave You Everything,26038,Code Red,New
I Go Crazy,26009,Flesh For Lulu,New
I Got Caught Dancing Again,26072,"The Hues
Corporation",New
I Got Dreams To Remember,26097,Otis Redding,New
I Have You To Thank,26077,Gavin DeGraw,New
"I Just Wanna Be Your
Everything",26436,Andy Gibb,New
I Look To You,26082,Whitney Houston,New
I Love How You Love Me,18741,Bobby Vinton,New
I Love You,18864,Eddie Peregrina,New
I Luv It,26035,PSY,New
I Never Said Goodbye,26221,"Engelbert
Humperdinck",New
I Never Told You,26125,Colbie Cailat,New
I Only Live To Love You,18792,Cliff Richard,New
I Should Have Known Better,26207,Jim Diamond,New
I Still Think About You,26052,Danger Danger,New
I Think I'm In Love,26468,Kat Dahlia,New
I Wanna Rock,18920,Twisted Sister,New
I Want To Wake Up With You,26105,Boris Gardiner,New
I Want You To Want Me,26068,Solid Harmonie,New
I Want You To Want Me,26126,Cheap Trick,New
I Who Have Nothing,18889,Candice Glover,New
I Will,18745,Matchbox 20,New
I Will Come To You,26369,Hanson,New
I Will Remember You,18757,Amy Grant,New
I Wouldn't Beg For Water,26100,Sheena Easton,New
Ibig Kong Ibigin Ka,26339,"Anthony
Castelo",New
Ice Tubig,26419,Gloc 9 ft Mike Luis,New
I'd Rather Go Blind,26119,Rod Stewart,New
Idjay,26422,Davey Langit ft Michelle Dy,New
If I Believed,26476,Patti Austin,New
If I Could Reach You,18995,"The 5th
Dimension",New
If I Fall,26222,Kavana,New
If I Had You,26340,Adam Lambert,New
If I Keep My Heart Out Of Sight,26205,James Taylor,New
If I Never Knew You Cared,26444,Eddie Peregrina,New
If It Kills Me,26244,Jason Mraz,New
If We Fall In Love,26209,McLisse,New
If You Go Away,26101,Terry Jacks,New
If You Needed Somebody,18868,Bad Company,New
Ikaw Ang Aking Mundo,26341,Angeline Quinto,New
Ikaw Ang Buhay Ko,26093,Kris Lawrence,New
Ikaw Lang,18731,Shamrock,New
Ikaw Na Lamang (Matud Nila),26098,Pilita Corrales,New
Ikaw Pa Rin,26122,Val John,New
I'll Be Loving You(Forever),26448,"New Kids On
The Block",New
I'll Be Missing You,26449,Puff Daddy,New
I'll Be Waiting,26223,Adele,New
I'll Be Your Everything,26163,Tommy Page,New
I'll C U When U Get There,26442,Coolio,New
I'll Stand By You,18808,The Pretenders,New
I'll Take The Tears,18791,A1,New
ILYSB,26134,Lany,New
I'm a Lady,18931,Meghan Trainor,New
I'm Changing,26445,Jennifer Hudson,New
I'm Coming Home,18996,Tom Jones,New
I'm In The Mood For,26224,Frank Sinatra,New
I'm The One,26373,DJ Khaled ft. Justin Bieber,New
I'm Yours,18710,The Script,New
Imagination,18979,Shawn Mendes,New
In Love Again,26039,Colbie Caillat,New
In The Name Of Love,18828,Martin Garixx & Bebe Rexha,New
In Thee,26241,Blue Oyster Cult,New
Infatuation,26225,Maroon 5,New
Iniwanan,18772,Mga Anak Ng Tupa,New
Insomnia,26171,Hilera,New
Ipakita Mo,26415,Manny Pacquiao,New
Is this Love,26276,Callalily,New
Isang Tingin,26212,"Ella Cruz and
Julian Trono",New
iSpy,18823,KYLE ft Lil Yachty,New
Issues,18924,Julia Michaels,New
